Time,Energy,Searching
1366,266.8913,5
1367,217.6559,5
1368,170.9117,5
1369,122.3378,5
1370,76.22543,5
1371,28.50923,5
1372,-18.40507,5
1373,-66.14918,5
1374,-112.5856,5
1375,-160.9592,5
1376,-207.8258,5
1377,-257.0221,5
1378,-304.6915,5
1379,-351.3561,5
1380,-399.7733,5
1381,-443.6789,5
1382,-490.5484,5
1383,-535.3527,5
1384,-578.6369,5
1385,-622.1487,5
1386,-667.4583,5
1387,-713.8247,5
1388,-758.5757,5
1389,-803.8332,5
1390,-846.1874,5
1391,-887.4334,5
1392,-933.4826,5
1393,-980.5448,5
1394,-1024.758,5
1395,929.1946,5
1396,894.8652,4
1397,860.0606,4
1398,827.508,4
1399,792.8284,4
1400,760.1624,4
1401,727.8574,3
1402,700.4912,3
1403,673.9111,3
1404,648.4297,3
1405,621.6476,3
1406,594.9894,3
1407,569.6285,3
1408,543.11,3
1409,517.4103,3
1410,490.4302,3
1411,463.9975,3
1412,431.2968,3
1413,405.6033,3
1414,380.1258,3
1415,355.0603,3
1416,329.3656,3
1417,302.2501,3
1418,275.8371,3
1419,248.824,3
